================================================================================
VELORA MOBILITY OPTIMIZER - TEST CASE TC05
================================================================================

INPUT SUMMARY
--------------------------------------------------------------------------------
Total Requests:    100
Total Vehicles:    30

VEHICLES:
  V00 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)

Vehicle V26:
  Total Distance: 57.87 km
  Total Cost:     $422.42
  Stops: 12

    1. PICKUP  Request R18 @  526.00 | Window: [526.0, 616.0] | (12.9215, 77.6565)
    2. PICKUP  Request R10 @  529.93 | Window: [503.0, 593.0] | (12.9544, 77.6433)
    3. PICKUP  Request R59 @  530.94 | Window: [493.0, 583.0] | (12.9631, 77.6404)
    4. DROPOFF Request R10 @  540.99 | Window: [503.0, 593.0] | (13.0500, 77.6150)
    5. DROPOFF Request R59 @  540.99 | Window: [493.0, 583.0] | (13.0500, 77.6150)
    6. DROPOFF Request R18 @  540.99 | Window: [526.0, 616.0] | (13.0500, 77.6150)
    7. PICKUP  Request R44 @  553.09 | Window: [501.0, 591.0] | (12.9760, 77.6969)
    8. PICKUP  Request R63 @  560.53 | Window: [518.0, 608.0] | (12.9640, 77.7644)
    9. PICKUP  Request R52 @  563.29 | Window: [494.0, 584.0] | (12.9887, 77.7620)
    10. DROPOFF Request R63 @  580.61 | Window: [518.0, 608.0] | (13.0500, 77.6150)
    11. DROPOFF Request R52 @  580.61 | Window: [494.0, 584.0] | (13.0500, 77.6150)
    12. DROPOFF Request R44 @  580.61 | Window: [501.0, 591.0] | (13.0500, 77.6150)

Vehicle V27:
  Total Distance: 35.23 km
  Total Cost:     $257.16
  Stops: 6

    1. PICKUP  Request R47 @  533.00 | Window: [533.0, 623.0] | (12.8941, 77.6497)
    2. PICKUP  Request R66 @  539.63 | Window: [496.0, 586.0] | (12.8453, 77.6848)
    3. PICKUP  Request R13 @  546.39 | Window: [501.0, 591.0] | (12.8992, 77.6562)
    4. DROPOFF Request R66 @  563.74 | Window: [496.0, 586.0] | (13.0500, 77.6150)
    5. DROPOFF Request R13 @  563.74 | Window: [501.0, 591.0] | (13.0500, 77.6150)
    6. DROPOFF Request R47 @  563.74 | Window: [533.0, 623.0] | (13.0500, 77.6150)

Vehicle V28:
  Total Distance: 52.36 km
  Total Cost:     $382.24
  Stops: 10

    1. PICKUP  Request R49 @  514.50 | Window: [490.0, 580.0] | (12.9175, 77.5869)
    2. PICKUP  Request R00 @  516.87 | Window: [491.0, 581.0] | (12.9358, 77.5760)
    3. PICKUP  Request R43 @  518.32 | Window: [505.0, 595.0] | (12.9409, 77.5883)
    4. DROPOFF Request R43 @  530.79 | Window: [505.0, 595.0] | (13.0500, 77.6150)
    5. DROPOFF Request R00 @  530.79 | Window: [491.0, 581.0] | (13.0500, 77.6150)
    6. PICKUP  Request R87 @  540.66 | Window: [527.0, 617.0] | (12.9644, 77.6388)
    7. PICKUP  Request R79 @  547.56 | Window: [518.0, 608.0] | (12.9455, 77.6996)
    8. DROPOFF Request R87 @  562.36 | Window: [527.0, 617.0] | (13.0500, 77.6150)
    9. DROPOFF Request R79 @  562.36 | Window: [518.0, 608.0] | (13.0500, 77.6150)
    10. DROPOFF Request R49 @  562.36 | Window: [490.0, 580.0] | (13.0500, 77.6150)

Vehicle V29:
  Total Distance: 37.17 km
  Total Cost:     $271.32
  Stops: 8

    1. PICKUP  Request R83 @  521.00 | Window: [521.0, 611.0] | (12.9130, 77.5978)
    2. PICKUP  Request R74 @  536.00 | Window: [536.0, 626.0] | (12.9186, 77.5893)
    3. PICKUP  Request R69 @  544.52 | Window: [516.0, 606.0] | (12.9794, 77.6372)
    4. DROPOFF Request R83 @  552.73 | Window: [521.0, 611.0] | (13.0500, 77.6150)
    5. PICKUP  Request R67 @  560.60 | Window: [493.0, 583.0] | (12.9872, 77.6485)
    6. DROPOFF Request R67 @  568.47 | Window: [493.0, 583.0] | (13.0500, 77.6150)
    7. DROPOFF Request R74 @  568.47 | Window: [536.0, 626.0] | (13.0500, 77.6150)
    8. DROPOFF Request R69 @  568.47 | Window: [516.0, 606.0] | (13.0500, 77.6150)

INFEASIBILITY ANALYSIS & RELAXED CONSTRAINTS
--------------------------------------------------------------------------------
RELAXED CONSTRAINTS (SOFT INFEASIBILITY):
  No soft constraints were relaxed.

COST BREAKDOWN
--------------------------------------------------------------------------------
  Vehicle V00:      $      0.00  (  0.0%)
  Vehicle V01:      $      0.00  (  0.0%)
  Vehicle V02:      $      0.00  (  0.0%)
  Vehicle V03:      $    472.34  (  5.4%)
  Vehicle V04:      $      0.00  (  0.0%)
  Vehicle V05:      $      0.00  (  0.0%)
  Vehicle V06:      $      0.00  (  0.0%)
  Vehicle V07:      $      0.00  (  0.0%)
  Vehicle V08:      $      0.00  (  0.0%)
  Vehicle V09:      $      0.00  (  0.0%)
  Vehicle V10:      $    454.39  (  5.1%)
  Vehicle V11:      $    371.50  (  4.2%)
  Vehicle V12:      $    405.61  (  4.6%)
  Vehicle V13:      $    402.55  (  4.6%)
  Vehicle V14:      $    678.99  (  7.7%)
  Vehicle V15:      $    166.06  (  1.9%)
  Vehicle V16:      $    330.04  (  3.7%)
  Vehicle V17:      $    139.23  (  1.6%)
  Vehicle V18:      $    504.19  (  5.7%)
  Vehicle V19:      $    357.64  (  4.1%)
  Vehicle V20:      $    498.56  (  5.7%)
  Vehicle V21:      $    437.71  (  5.0%)
  Vehicle V22:      $    601.84  (  6.8%)
  Vehicle V23:      $    417.12  (  4.7%)
  Vehicle V24:      $    608.61  (  6.9%)
  Vehicle V25:      $    644.36  (  7.3%)
  Vehicle V26:      $    422.42  (  4.8%)
  Vehicle V27:      $    257.16  (  2.9%)
  Vehicle V28:      $    382.24  (  4.3%)
  Vehicle V29:      $    271.32  (  3.1%)
--------------------------------------------------------------------------------
  TOTAL:             $   8823.88  (100.0%)

FILE REFERENCES
--------------------------------------------------------------------------------
Input JSON:  /Users/mac/Coding/Projects/Kriti/velora-mobility-optimizer/data/json/tc05_input.json
Output JSON: /Users/mac/Coding/Projects/Kriti/velora-mobility-optimizer/data/json/tc05_output.json

================================================================================
